Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Structural Modifications,/modifications/structuralModifications,,,Structural Modifications,REMOVE LUCENE PATH,,"A list of structural modifications applied to this substance. A stuctural modification is a known and specific change to the original source substane described, where a description of the chemical structural change, location, and amount are feasible.",structuralModifications,Current,array <StructuralModification>,x,,,,,,,,,,,,,
Molecular Fragment,/modifications/structuralModifications/?/molecularFragment,,,Structural Modification Molecular Fragment,REMOVE LUCENE PATH,,"A reference to the substance which is substituting, binding or connecting to the main substance and thus modifying it. For proteins, this is most typically a full amino acid which is considered to replace an existing amino acid at a specific site. For nucleic acids, this is more commonly a full nucleotide which is also considered to replace the linkage, sugar and nucleobase at some specified site(s).",molecularFragment,Current,object <SubstanceReference>,x,,,,,,,,,,,,,
Name,/modifications/structuralModifications/?/molecularFragment/name,root_modifications_structuralModifications_molecularFragment_name,,Molecular Fragment Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,x,,,,,,,,,,,,,
Name,/names/?/name,root_names_name,,Any Name,,,The literal string text of a name.,name,Current,string,x,,,,,,,,,,,,,
Naming Organizations,/names/?/nameOrgs,,,Name Nameorgs,REMOVE LUCENE PATH,,The list of naming organizations that have marked this name as official in some way.,nameOrgs,Current,array <NameOrg>,x,,,,,,,,,,,,,
Name Org,/names/?/nameOrgs/?/nameOrg,root_names_nameOrgs_nameOrg,NAME_ORG,Naming Organization,,,"A string representing the naming organization which has designated the name as official in some regard. (e.g. ""USAN"", ""INN"").",nameOrg,Current,string,x,,,,,,,,,,,,,
Type,/names/?/type,root_names_type,NAME_TYPE,Name Type Code,,,"The type of the name (e.g. ""bn"" for ""brand name"", ""cn"" for ""common name"", and ""sys"" for ""systematic name"", etc).",type,Current,string,x,,,,,,,,,,,,,
Notes,/notes,,,Record Notes,REMOVE LUCENE PATH,,A list of notes and general comments for the record.,notes,Current,array <Note>,x,,,,,,,,,,,,,
Notes,/notes/?/note,root_notes_note,,Note,,,"The literal text of a note comment for a record. These is typically used to capture some orienting descriptive information, qualifications, or systematic notes on validation.",note,Current,string,x,,,,,,,,,,,,,
Linkages,/nucleicAcid/linkages,,,Nucleic Acid Linkages,REMOVE LUCENE PATH,,"The list of linkages used to connect the nucleosides of the nucleic acid, as well as their sites of use.",linkages,Current,array <Linkage>,x,,,,,,,,,,,,,
Linkage,/nucleicAcid/linkages/?/linkage,root_nucleicAcid_linkages_linkage,NUCLEIC_ACID_LINKAGE,Linkage Linkage,FIX INDEXING (BACKEND),,The linkage itself which is used. This is a short-hand code for a defined structural linkage fragment found within the GSRS controlled vocabulary.,linkage,Current,string,x,,,,,,,,,,,,,
Length,/nucleicAcid/subunits/?/length,root_nucleicAcid_subunits_length,,Nucleic Acid Subunit Length,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The length of the sequence found in the subunit.,length,Deprecated,number,x,greater,,,,,,,,,,,,
Sugars,/nucleicAcid/sugars,,NUCLEIC_ACID_SUGAR,Nucleic Acid Sugars,REMOVE LUCENE PATH,,"The list of sugars (e.g. ribose, deoxyribose, morphilino) which the nucleobases connect to, as well as their sites of use within the sequence.",sugars,Current,array <Sugar>,x,,,,,,,,,,,,,
Sugar,/nucleicAcid/sugars/?/sugar,root_nucleicAcid_sugars_sugar,,Sugar Sugar,FIX INDEXING (BACKEND),,The sugar itself which is used. This is a short-hand code for a defined structural sugar fragment found within the GSRS controlled vocabulary.,sugar,Current,string,x,,,,,,,,,,,,,
Classification,/polymer/classification,,,Polymer Classification,REMOVE LUCENE PATH,,A container for classification properties of a polymer.,classification,Current,object <PolymerClassification>,x,,,,,,,,,,,,,
Polymer Class,/polymer/classification/polymerClass,root_polymer_classification_polymerClass,POLYMER_CLASS,Polymer Class,,,"A general classication of the polymer type (e.g. ""homopolymer"", ""copolymer"").",polymerClass,Current,string,x,,,,,,,,,,,,,
Monomers,/polymer/monomers,,,Polymer Monomers,REMOVE LUCENE PATH,,"A list of starting materials and/or conceptual ""monomers"" that either were used in the synthesis of the polymer, or ""could have been used"" in its synthesis. Each ""monomer"" has a type, an extent (or amount) and a reference to another substance record. It is important to note, despite the name, that catalysts and non-monomer starting materials may be captured here as well.",monomers,Current,array <Monomer>,x,,,,,,,,,,,,,
Monomer Substance,/polymer/monomers/?/monomerSubstance,,,Monomer Monomer Substance,REMOVE LUCENE PATH,,A reference to the substance which is used as a starting material or monomer.,monomerSubstance,Current,object <SubstanceReference>,x,,,,,,,,,,,,,
Properties,/properties,,,Record Properties,REMOVE LUCENE PATH,,"A list of physical, chemical or other properties of the record.",properties,Current,array <Property>,x,,,,,,,,,,,,,
Property Name,/properties/?/name,root_properties_name,PROPERTY_NAME,Property Name,,,The literal string text of a name.,name,Current,string,x,,,,,,,,,,,,,
Property Parameters,/properties/?/parameters,root_properties_parameters,,Property Parameters,,,"The list of paramaters needed to define the conditions, context or environment of applicability for the property value specified.",parameters,Current,array <PropertyParameter>,x,,,,,,,,,,,,,
Name,/properties/?/parameters/?/name,root_properties_parameters_name,,Parameter Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,x,,,,,,,,,,,,,
Type,/properties/?/parameters/?/type,root_properties_parameters_type,,Parameter Type,FIX INDEXING (BACKEND),,"The type of parameter specified, (e.g. 'CHEMICAL', ''PHYSICAL', 'ENZYMATIC', or other).",type,Current,string,x,,,,,,,,,,,,,
Glycosylation,/protein/glycosylation,,,Protein Glycosylation,REMOVE LUCENE PATH,,Stores information on glycosylation sites and glycosylation type for the protein.,glycosylation,Current,object <Glycosylation>,x,,,,,,,,,,,,,
Glycosylation Type,/protein/glycosylation/glycosylationType,root_protein_glycosylation_glycosylationType,GLYCOSYLATION_TYPE,Protein Glycosylation Type,,,"The type of glycosylation pattern found on the protein. Here, this is a very general term meant to capture the organism-level pattern that the glycosylation roughly corresponds to. (e.g. ""mouse"", ""human"", ""porcine"").",glycosylationType,Current,string,x,,,,,,,,,,,,,
Protein Sub Type,/protein/proteinSubType,root_protein_proteinSubType,PROTEIN_SUBTYPE,Protein Protein Subtype,,,A comma-separated set of subtypes descriptive of the protein.,proteinSubType,Current,string,x,,,,,,,,,,,,,
Protein Type,/protein/proteinType,root_protein_proteinType,PROTEIN_TYPE,Protein Proteintype,,,A general typing of the protein.,proteinType,Current,string,x,,,,,,,,,,,,,
Length,/protein/subunits/?/length,root_protein_subunits_length,,Protein Subunit Length,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The length of the sequence found in the subunit.,length,Deprecated,number,x,,,,,,,,,,,,,
Doc Type,/references/?/docType,root_references_docType,DOCUMENT_TYPE,Reference Type,,,"The type of reference or document represented (e.g. ""INN"", ""Journal Article"", etc).",docType,Current,string,x,,,,,,,,,,,,,
Relationships,/relationships,,,Record Relationships,REMOVE LUCENE PATH,,"A list of related records which share some known relationship with this record (e.g. salt forms, metabolites, impurities, etc).",relationships,Current,array <Relationship>,x,,,,,,,,,,,,,
Last Edited,/relationships/?/lastEdited,root_relationships_lastEdited,,Relationship Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,x,,,,,,,,,,,,,
Last Edited By,/relationships/?/lastEditedBy,root_relationships_lastEditedBy,,Relationship Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,x,,,,,,,,,,,,,
Ref Pname,/relationships/?/relatedSubstance/refPname,root_relationships_relatedSubstance_refPname,,Related Substance Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,x,,,,,,,,,,,,,
Constituents,/specifiedSubstance/constituents,root_specifiedSubstance_constituent,,Constituent,REMOVE LUCENE PATH,,A list of constituent substances that make up the specified substance,,Current,array <Constituent>,x,,,,,,,,,,,,,
Substance,/specifiedSubstance/constituents/?/substance,root_specifiedSubstance_constituents_substance,,Constituent Substance,REMOVE LUCENE PATH,,A reference to a constituent substance which this substance further qualifies. ,parentSubstance,Current,object <SubstanceReference>,x,,,,,,,,,,,,,
Name,/specifiedSubstance/constituents/?/substance/name,root_specifiedSubstance_constituents_substance_name,,Constituent Substance Name,REMOVE LUCENE PATH,,The literal string text of a name.,name,Deprecated,string,x,,,,,,,,,,,,,
Access,/structurallyDiverse/access,root_structurallyDiverse_access,ACCESS_GROUP,Structurally Diverse Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,x,,,,,,,,,,,,,
Created By,/structurallyDiverse/createdBy,root_structurallyDiverse_createdBy,,Structurally Diverse Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,x,,,,,,,,,,,,,
Fraction Material Type,/structurallyDiverse/fractionMaterialType,root_structurallyDiverse_fractionMaterialType,FRACTION_MATERIAL_TYPE,Structurally Diverse Fraction Material Type,,,"A general material type of the fraction which is isolated in a structurally diverse substance (e.g. ""oils"", ""cells"", etc).",fractionMaterialType,Current,string,x,,,,,,,,,,,,,
Fraction Name,/structurallyDiverse/fractionName,root_structurallyDiverse_fractionName,,Structurally Diverse Fraction Name,,,"A specific name for the fraction which is isolated in a structirally diverse substance (e.g. ""low molecular weight oils"").",fractionName,Current,string,x,,,,,,,,,,,,,
Family,/structurallyDiverse/organismFamily,root_structurallyDiverse_organismFamily,,Organism Family,,,The organism's taxonomic family.,organismFamily,Current,string,x,,,,,,,,,,,,,
Genus,/structurallyDiverse/organismGenus,root_structurallyDiverse_organismGenus,,Organism Genus,,,The organism's taxonomic genus.,organismGenus,Current,string,x,,,,,,,,,,,,,
Species,/structurallyDiverse/organismSpecies,root_structurallyDiverse_organismSpecies,,Organism Species,,,"The organism's species scientific name excluding the genus, known as the specific epithet.",organismSpecies,Current,string,x,,,,,,,,,,,,,
Parent Substance,/structurallyDiverse/parentSubstance,,,Structurally Diverse Parent Substance,REMOVE LUCENE PATH,,"A reference to the parent substance which this substance further qualifies. This tends to be null if this record is a ""whole"" structurally diverse record, and points back to the ""whole"" record if the part or other qualification is present.",parentSubstance,Current,object <SubstanceReference>,x,,,,,,,,,,,,,
Part,/structurallyDiverse/part,root_structurallyDiverse_part_term,PART,Structurally Diverse Part,UPDATE LUCENE PATH & FIX BACKEND,,"The contiguous physical part(s) of the source material that are isolated in this substance (e.g. ""flower"", ""fruit"", ""stem"", ""bone""). Full organisms receive the part of ""Whole"".",part,Current,array <string>,x,,,,,,,,,,,,,
Source Material State,/structurallyDiverse/sourceMaterialState,root_structurallyDiverse_sourceMaterialState,SOURCE_MATERIAL_STATE,Source Material Source Material State,,,"A textual catagorization of what state the material is in, if needed (e.g. ""live"", ""killed"").",sourceMaterialState,Current,string,x,,,,,,,,,,,,,
Material Type,/structurallyDiverse/sourceMaterialType,root_structurallyDiverse_sourceMaterialType,SOURCE_MATERIAL_TYPE,Source Material Type,,,"The type of source material. This is a general category which, for organisms, typically specifies a useful general abstract taxonic level with increasing granularity as it approaches humans (e.g. ""plant"", ""fungus"", ""mammal"", ""primate"", ""human"").",sourceMaterialType,Current,string,x,,,,,,,,,,,,,
Molecular Formula,/structure/formula,root_structure_formula,,Mol Formua,,,The chemical formula of the record.,formula,Current,string,x,,,,,,,,,,,,,
Molecular Weight,/structure/mwt,root_structure_mwt,,Structure Mwt,,,The molecular weight of the structure.,mwt,Current,number,x,,,,,,,,,,,,,
Total Stereocenters Count,/structure/stereoCenters,root_structure_stereoCenters,,Structure Stereo Centers,,,A count of possible stereocenters.,stereoCenters,Current,number,x,,,,,,,,,,,,,
StereoChemistry,/structure/stereochemistry,root_structure_stereochemistry,STEREOCHEMISTRY_TYPE,Structure Stereochemistry,,,"The structure's type of stereochemistry (absolute, achiral, racemic, etc.).",stereochemistry,Current,string,x,,,,,,,,,,,,,
Substance Type,/substanceClass,root_substanceClass,SUBSTANCE_CLASS,Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,x,,,,,,,,,,,,,
Tags,/tags,root_tags_term,,Record Tags,UPDATE LUCENE PATH & FIX BACKEND,,"A collection of strings which mark the reference as having specific properties (nomenclature, spectra, definition, etc).",tags,Current,array <string>,x,,,,,,,,,,,,,
Access,/access,root_access,ACCESS_GROUP,Record Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/approvalID,root_approvalID,,Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Change Reason,/changeReason,root_changeReason,,Record Change Reason,,,A description of the reason for the last change to the record.,changeReason,Current,string,,,,,,,,,,,,,,
Access,/codes/?/access,root_codes_access,ACCESS_GROUP,Code Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Code,/codes/?/code,root_codes_code,,Code Literal,,,The literal code value.,code,Current,string,,,,,,,,,,,,,,
Created,/codes/?/created,root_codes_created,,Code Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/codes/?/createdBy,root_codes_createdBy,,Code Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/codes/?/deprecated,root_codes_deprecated,,Code Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/codes/?/lastEdited,root_codes_lastEdited,,Code Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/codes/?/lastEditedBy,root_codes_lastEditedBy,,Code Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
References,/codes/?/references,,,Code References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Url,/codes/?/url,root_codes_url,,Code URL,,,The url to further information regarding this code.,url,Current,string,,,,,,,,,,,,,,
Uuid,/codes/?/uuid,root_codes_uuid,,Code UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Definition Type,/definitionType,root_definitionType,,Record Definition Type,,,"The type of definition (""primary"" or ""alternative""). Primary definitions are the main descriptive form of the substance definition, while ""alternative"" definitions may be seen as definitional ""synonyms"" of some primary record.",definitionType,Current,string,,,,,,,,,,,,,,
Mixture,/mixture,,,Mixture,REMOVE LUCENE PATH,,A container for the mixture information necesary to define a mixture substance. This includes the mixture components and an optioanl source material reference.,mixture,Current,object <Mixture>,,,,,,,,,,,,,,
Access,/mixture/access,root_mixture_access,ACCESS_GROUP,Mixture Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Components,/mixture/components,,,Mixture Components,REMOVE LUCENE PATH,,"A list of components found in the mixture. Each component has a type specifying whether it is a necessary/optional element of the mixture, as well as a reference to the substance it specifies. .",components,Current,array <Component>,,,,,,,,,,,,,,
Access,/mixture/components/?/access,root_mixture_components_access,ACCESS_GROUP,Mixture Component  Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/mixture/components/?/created,root_mixture_components_created,,Mixture Component Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/mixture/components/?/createdBy,root_mixture_components_createdBy,,Mixture Component Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/mixture/components/?/deprecated,root_mixture_components_deprecated,,Mixture Component Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/mixture/components/?/lastEdited,root_mixture_components_lastEdited,,Mixture Component Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/mixture/components/?/lastEditedBy,root_mixture_components_lastEditedBy,,Mixture Component Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
References,/mixture/components/?/references,,,Mixture Component References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Substance,/mixture/components/?/substance,,,Mixture Component Substance,REMOVE LUCENE PATH,,A reference to the substance which is considered a component of the mixture.,substance,Current,object <SubstanceReference>,,,,,,,,,,,,,,
Access,/mixture/components/?/substance/access,root_mixture_components_substance_access,ACCESS_GROUP,Mixture Component Substance Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/mixture/components/?/substance/approvalID,root_mixture_components_substance_approvalID,,Mixture Component ApprovalID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/mixture/components/?/substance/created,root_mixture_components_substance_created,,Mixture Component Substance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/mixture/components/?/substance/createdBy,root_mixture_components_substance_createdBy,,Mixture Component Substance Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/mixture/components/?/substance/deprecated,root_mixture_components_substance_deprecated,,Mixture Component Substance Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/mixture/components/?/substance/lastEdited,root_mixture_components_substance_lastEdited,,Mixture Component Substance Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/mixture/components/?/substance/lastEditedBy,root_mixture_components_substance_lastEditedBy,,Mixture Component Substance Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/mixture/components/?/substance/linkingID,root_mixture_components_substance_linkingID,,Mixture Component Substance Linking ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
Name,/mixture/components/?/substance/name,root_mixture_components_substance_name,,Mixture Component Substance Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,,,,,,,,,,,,,,
References,/mixture/components/?/substance/references,,,Mixture Component Substance References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Ref Pname,/mixture/components/?/substance/refPname,root_mixture_components_substance_refPname,,Mixture Component Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,,,,,,,,,,,,,,
Refuuid,/mixture/components/?/substance/refuuid,root_mixture_components_substance_refuuid,,Mixture Component Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/mixture/components/?/substance/substanceClass,root_mixture_components_substance_substanceClass,,Mixture Component Substance Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/mixture/components/?/substance/uuid,root_mixture_components_substance_uuid,,Mixture Component Substance UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Type,/mixture/components/?/type,root_mixture_components_type,MIXTURE_TYPE,Mixture Component Type,,,"The component type relative to it's mixture ('may be present (any of)', 'must be present (all of)', etc.).",type,Current,string,,,,,,,,,,,,,,
Uuid,/mixture/components/?/uuid,root_mixture_components_uuid,,Mixture Component UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Created,/mixture/created,root_mixture_created,,Mixture Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/mixture/createdBy,root_mixture_createdBy,,Mixture Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/mixture/deprecated,root_mixture_deprecated,,Mixture Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/mixture/lastEdited,root_mixture_lastEdited,,Mixture Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/mixture/lastEditedBy,root_mixture_lastEditedBy,,Mixture Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Parent Substance,/mixture/parentSubstance,,,Mixture Parent Substance,REMOVE LUCENE PATH,,"A reference to the parent substance which this substance further qualifies. This tends to be null if this record is a ""whole"" structurally diverse record, and points back to the ""whole"" record if the part or other qualification is present.",parentSubstance,Current,object <SubstanceReference>,,,,,,,,,,,,,,
Access,/mixture/parentSubstance/access,root_mixture_parentSubstance_access,ACCESS_GROUP,Mixture Parent Substance Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/mixture/parentSubstance/approvalID,root_mixture_parentSubstance_approvalID,,Mixture Parent Substance Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/mixture/parentSubstance/created,root_mixture_parentSubstance_created,,Mixture Parent Substance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/mixture/parentSubstance/createdBy,root_mixture_parentSubstance_createdBy,,Mixture Parent Substance Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/mixture/parentSubstance/deprecated,root_mixture_parentSubstance_deprecated,,Mixture Parent Substance Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/mixture/parentSubstance/lastEdited,root_mixture_parentSubstance_lastEdited,,Mixture Parent Substance Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/mixture/parentSubstance/lastEditedBy,root_mixture_parentSubstance_lastEditedBy,,Mixture Parent Substance Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/mixture/parentSubstance/linkingID,root_mixture_parentSubstance_linkingID,,Mixture Parent Substance Linking ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
